# Constructed from biom file																																																																	
#OTU ID	1	2	3	4	5	6	7	9	10	11	13	15	16	17	18	19	21	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	39	40	41	42	43	44	46	47	66	69	70	72	74	76	77	78	80	1CU2_PA5	1NC1_SS1	2CC2_SS3	2CU2_PA1	2NC1_PA6	2NC2_ST2	2NC2_ST3	2NU1_PA8	3NC2_SS2	3NU1_SS3	4CU1_SS1	4NU1_SS2	83	20	75	1NU1_SS2
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae;o__Synechococcales	0.155	0.195666667	0.116	0.093666667	0.142	0.244	0.203833333	0.182	0.122285714	0.165714286	0.112333333	0.14925	0.090285714	0.152625	0.2628	0.2	0.129	0.1208	0.265333333	0.1022	0.321	0.011	0.201	0.1335	0.145	0.22225	0.166555556	0.178142857	0.122625	0.116	0.088857143	0.119	0.160076923	0.1226	0.208166667	0.252636364	0.2098	0.2088	0.083090909	0.151	0.201	0.258333333	0.168	0.0665	0.2365	0.251	0.0855	0.031	0.069	0.196	0.3035	0.169	0.089	0.289	0.28	0.202	0.311	0.087	0.048	0.377	0.142	0.112	0.23175	0.046	0.392
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales	0.116	0.055333333	0.087666667	0.118333333	0.118333333	0.1082	0.058666667	0.117	0.064285714	0.068285714	0.072333333	0.1055	0.104285714	0.0815	0.0806	0.315	0.104	0.0653	0.047666667	0.0822	0.081	0.288	0.0756	0.0749	0.172	0.064625	0.078222222	0.100285714	0.089625	0.130666667	0.102285714	0.11525	0.097538462	0.167	0.0745	0.104181818	0.0914	0.102	0.164454545	0.1488	0.088	0.063333333	0.053	0.135	0.0865	0.239	0.126	0.511	0.04	0.054	0.0645	0.058	0.114	0.041	0.036	0.025	0.048	0.073	0.071	0.083	0.17	0.066	0.0585	0.044	0.061
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales	0.005	0.007666667	0.022	0.013666667	0.006333333	0.0058	0.0065	0.007	0.027142857	0.016571429	0.007833333	0.0055	0.009428571	0.008875	0.0036	0.002	0.009	0.0125	0.002333333	0.0082	0.007	0	0.0046	0.0063	0.006	0.01	0.006444444	0.005857143	0.016125	0.013555556	0.010285714	0.006	0.008615385	0.004	0.0055	0.002909091	0.014	0.0012	0.009909091	0.0024	0.005	0.002333333	0.01	0.0065	0.0035	0.001	0.009	0.002	0.002	0.016	0.0025	0.018	0.003	0.002	0	0	0.014	0.016	0.015	0.002	0.024	0.016	0.01175	0.004	0.004
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales	0.011	0.011666667	0.021	0.011666667	0.009666667	0.0302	0.036333333	0.031	0.020571429	0.029	0.014833333	0.0125	0.012857143	0.02625	0.0378	0.016	0.038	0.0519	0.051	0.0448	0.012	0.002	0.0474	0.0207	0.015	0.089	0.020888889	0.025571429	0.01325	0.017555556	0.007428571	0.01575	0.022384615	0.0218	0.028	0.042363636	0.0314	0.0392	0.006181818	0.024	0.014	0.053	0.027	0.01	0.0285	0.024	0.0135	0.005	0	0.03	0.0305	0.024	0.004	0.036	0.08	0.037	0.039	0.01	0.005	0.037	0.003	0.026	0.01675	0	0.057
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales	0.019	0.05	0.083333333	0.099666667	0.045666667	0.0368	0.075666667	0.06	0.070714286	0.076857143	0.086166667	0.09025	0.061285714	0.070125	0.0312	0.02	0.058	0.0668	0.027666667	0.0754	0.074	0.023	0.0666	0.0819	0.168	0.032875	0.129222222	0.072571429	0.1	0.089555556	0.134	0.058	0.073153846	0.0676	0.055	0.037454545	0.0414	0.0232	0.117363636	0.0664	0.061	0.032	0.063	0.109	0.0485	0.044	0.0835	0.228	0.068	0.063	0.0425	0.083	0.141	0.021	0.02	0.027	0.065	0.107	0.099	0.034	0.07	0.112	0.06525	0.018	0.019
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales	0.006	0.025666667	0.011	0.001	0.010333333	0.0242	0.031666667	0.001	0.008714286	0.008857143	0.001333333	0.00225	0.007857143	0.00825	0.0276	0.001	0	0.0035	0.018666667	0.0104	0	0	0.004	0.0075	0.001	0.0085	0.028888889	0.001285714	0.00325	0.002777778	0.054714286	0.028	0.005153846	0.0452	0.02	0.003272727	0.0716	0.0624	0.006090909	0.0352	0	0.001333333	0.002	0.0005	0.005	0.001	0.0015	0	0	0.003	0.0015	0	0.001	0.006	0.003	0.009	0	0	0.002	0	0.002	0	0.002	0.012	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales	0.006	0.010333333	0.025666667	0.021666667	0.008333333	0.0092	0.011	0.03	0.040571429	0.025142857	0.024333333	0.00975	0.025714286	0.014375	0.0058	0.004	0.007	0.0153	0.004666667	0.013	0.012	0.016	0.0156	0.0138	0.006	0.015125	0.012777778	0.014	0.021875	0.023444444	0.026571429	0.00475	0.012846154	0.008	0.009666667	0.008636364	0.0116	0.0052	0.02	0.0326	0.025	0.008	0.031	0.0135	0.0205	0.004	0.02	0.004	0.009	0.009	0.012	0.033	0.004	0.01	0.001	0.001	0.013	0.031	0.061	0.002	0.026	0.023	0.01525	0.003	0.003
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales	0.016	0.023	0.026	0.065333333	0.053666667	0.1154	0.033333333	0.01	0.011	0.022	0.081833333	0.06625	0.03	0.021125	0.0236	0.006	0.022	0.0516	0.005666667	0.0356	0.018	0	0.0282	0.0358	0.011	0.02225	0.062888889	0.044142857	0.050875	0.026666667	0.024285714	0.241	0.098153846	0.101	0.013833333	0.040272727	0.0072	0.0464	0.087727273	0.0466	0.021	0.016333333	0.021	0.112	0.0255	0.027	0.089	0.001	0.077	0.015	0.009	0.017	0.164	0.012	0.008	0.021	0.018	0.029	0.017	0.007	0.069	0.057	0.089125	0.022	0.01
k__Bacteria;p__Acidobacteria	0.001	0.002333333	0.004666667	0.002666667	0.001	0.0008	0.001333333	0.003	0.007571429	0.005571429	0.0035	0.00175	0.004142857	0.002375	0.0022	0	0.002	0.0028	0	0.0024	0.002	0.004	0.008	0.0038	0.004	0.001625	0.001888889	0.002571429	0.00775	0.006555556	0.005428571	0.00075	0.001769231	0.0006	0.002166667	0.001545455	0.0036	0.0004	0.004090909	0.0004	0.002	0.000666667	0	0.0035	0.001	0.001	0.003	0.001	0.001	0	0.001	0.007	0	0	0	0.006	0	0.004	0.005	0	0.012	0.005	0.003125	0	0
k__Bacteria;p__Actinobacteria	0.018	0.044	0.034333333	0.029	0.018666667	0.034	0.054166667	0.02	0.036857143	0.037142857	0.022833333	0.021	0.029	0.0385	0.0522	0.035	0.037	0.0374	0.062333333	0.0268	0.045	0.008	0.0494	0.0373	0.03	0.0335	0.027777778	0.031714286	0.029125	0.026666667	0.019285714	0.0195	0.030153846	0.0372	0.045666667	0.047545455	0.0438	0.037	0.023090909	0.033	0.05	0.059333333	0.029	0.02	0.037	0.047	0.0305	0.006	0.01	0.039	0.037	0.025	0.008	0.035	0.029	0.035	0.038	0.016	0.022	0.04	0.034	0.049	0.035375	0.083	0.039
